"carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","51","39","0","39"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","SANMARTIN","Colegio Superior San Martín","5","5","0","5"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","11","11","0","11"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","2","2","0","2"
"Seminario ""Sarmiento. Civilización y barbarie""","SEMINARIOSARMIENTO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Sarmiento. Civilización y barbarie""","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","1","1","0","1"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","35","28","0","28"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","0","0"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","CARENA","Instituto Superior Dr. Carlos María Carena","3","1","0","1"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SANMARTIN","Colegio Superior San Martín","5","4","0","4"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","5","2","0","2"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","8","5","0","5"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","20","19","0","19"
"Seminario ""La Exploración del Espacio y la Estatura del Hombre""","SEMINARIOESPACIO","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""La Exploración del Espacio y la Estatura del Hombre""","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","1","0","0","0"
"Especialización Docente de Nivel Superior en Educación y Medios Digitales","EDUYMEDIOS","Trayecto","Febrero 2018","2018","Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","1","0"
"Especialización Docente de Nivel Superior en Educación y Medios Digitales","EDUYMEDIOS","Trayecto","Febrero 2018","2018","Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","CARENA","Instituto Superior Dr. Carlos María Carena","3","0","3","3"
"Especialización Docente de Nivel Superior en Educación y Medios Digitales","EDUYMEDIOS","Trayecto","Febrero 2018","2018","Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","SANMARTIN","Colegio Superior San Martín","2","0","2","2"
"Especialización Docente de Nivel Superior en Educación y Medios Digitales","EDUYMEDIOS","Trayecto","Febrero 2018","2018","Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","0"
"Especialización Docente de Nivel Superior en Educación y Medios Digitales","EDUYMEDIOS","Trayecto","Febrero 2018","2018","Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","ENSAGULLA","Escuela Normal Superior Dr. Agustín Garzón Agulla","19","0","19","16"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","80","54","0","54"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","30","22","0","22"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","URQUIZA","Escuela Normal Superior Justo José de Urquiza","7","3","0","3"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","CARENA","Instituto Superior Dr. Carlos María Carena","7","5","0","5"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","SANMARTIN","Colegio Superior San Martín","7","6","0","6"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","11","8","0","8"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","4","4","0","4"
"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","ENSCARBO","Escuela Normal Superior Dr. Alejandro Carbó","64","41","0","41"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","URQUIZA","Escuela Normal Superior Justo José de Urquiza","37","30","0","30"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","IESSB","Instituto de Enseñanza Superior Simón Bolívar","69","49","0","49"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","URQUIZA","Escuela Normal Superior Justo José de Urquiza","4","1","0","1"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","CARENA","Instituto Superior Dr. Carlos María Carena","6","4","0","4"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","IESSB","Instituto de Enseñanza Superior Simón Bolívar","53","31","0","31"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SANMARTIN","Colegio Superior San Martín","12","8","0","8"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","14","9","0","9"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","5","5","0","5"
"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","4","4","0","4"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Abril 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","50","35","0","35"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","URQUIZA","Escuela Normal Superior Justo José de Urquiza","6","4","0","4"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","CARENA","Instituto Superior Dr. Carlos María Carena","10","10","0","10"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","24","14","0","14"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SANMARTIN","Colegio Superior San Martín","3","3","0","3"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","0","0"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","5","4","0","4"
"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","4","3","0","3"
"Oferta de módulos individuales","MOD_INDIVIDUALES","Módulos individuales","Única","2018","Oferta de módulos individuales","Oferta de módulos individuales","IESSB","Instituto de Enseñanza Superior Simón Bolívar","2","0","0","2"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","2","0","2","1"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","20","0","20","15"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","SANMARTIN","Colegio Superior San Martín","2","0","2","2"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","0"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","2","0","2","1"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","3","0","3","3"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","6","0","6","6"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","12","0","12","11"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","SANMARTIN","Colegio Superior San Martín","1","0","1","1"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","3","0","3","2"
"Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","PROFSEC_MAT","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Matemática (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","4","0","4","4"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","3","0","3","3"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","20","0","20","15"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","2","0","2","2"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","1","0","1","1"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","2","0","2","2"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","5","0","5","5"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","29","0","29","29"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","SANMARTIN","Colegio Superior San Martín","1","0","1","1"
"Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","PROFSEC_BIOL","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Biología (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","1"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","1","1"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","CARENA","Instituto Superior Dr. Carlos María Carena","3","0","3","3"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","5","0","5","5"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","1"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","1","0","1","1"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","1","0","1","0"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","1","0"
"Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","PROFSEC_FIS","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Física (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","1","0","1","1"
"Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base)","PROFSEC_GEOG","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","1","1"
"Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base)","PROFSEC_GEOG","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","1"
"Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base)","PROFSEC_GEOG","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Geografía (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","1","1"
"Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","PROFSEC_HIS","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","1","0"
"Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","PROFSEC_HIS","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","1","1"
"Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","PROFSEC_HIS","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","1","1"
"Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","PROFSEC_HIS","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Historia (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","1","0","1","1"
"Profesorado de Educación Secundaria en Lengua y Literatura (en concurrencia con título de base)","PROFSEC_LENGYLIT","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Lengua y Literatura (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","9","0","9","8"
"Profesorado de Educación Secundaria en Lengua y Literatura (en concurrencia con título de base)","PROFSEC_LENGYLIT","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Lengua y Literatura (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","8","0","8","8"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","4","0","4","4"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","25","0","25","19"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","SANMARTIN","Colegio Superior San Martín","2","0","2","2"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","2","0","2","2"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","3","0","3","3"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","2","0","2","2"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","5","0","5","3"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","1","1"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","15","0","15","14"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","SANMARTIN","Colegio Superior San Martín","3","0","3","3"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","3","0","3","3"
"Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","PROFSEC_QUIM","Profesorado","Mayo 2019","2019","Formación docente complementaria","Profesorado de Educación Secundaria en Química (en concurrencia con título de base)","CCASTRO","Conservatorio Superior de Música Juan José Castro","3","0","3","3"
"Profesorado de Educación Secundaria en Informática (en concurrencia con título de base)","PROFSEC_INF","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Informática (en concurrencia con título de base)","URQUIZA","Escuela Normal Superior Justo José de Urquiza","1","0","1","1"
"Profesorado de Educación Secundaria en Informática (en concurrencia con título de base)","PROFSEC_INF","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Informática (en concurrencia con título de base)","IESSB","Instituto de Enseñanza Superior Simón Bolívar","18","0","18","15"
"Profesorado de Educación Secundaria en Informática (en concurrencia con título de base)","PROFSEC_INF","Profesorado","Octubre 2018","2018","Formación docente complementaria","Profesorado de Educación Secundaria en Informática (en concurrencia con título de base)","SANMARTIN","Colegio Superior San Martín","1","0","1","1"
