"carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","8","0","8","5"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","4","0","4","2"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","IESSB","Instituto de Enseñanza Superior Simón Bolívar","30","0","30","20"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","SANMARTIN","Colegio Superior San Martín","3","0","3","1"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","4","0","4","2"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","HOUSSAY","Instituto Superior Dr. Bernardo Houssay","3","0","3","1"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Junio 2017","2017","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","1","0","1","1"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","URQUIZA","Escuela Normal Superior Justo José de Urquiza","6","0","6","3"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","CARENA","Instituto Superior Dr. Carlos María Carena","3","0","3","1"
"Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria","GESTIONPRI_ESP","Trayecto","Febrero 2018","2018","Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","SANMARTIN","Colegio Superior San Martín","2","0","2","2"
