"anio","carrera","carrera_siglas","tipo","cohorte","cohorte_anio","linea_formativa","propuesta","ifda_sigla","ifda","prematriculados","inician_curso","aprueban_MI","cursantes_T3"
NULL,"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","IESSB","Instituto de Enseñanza Superior Simón Bolívar","14","0","0","0"
NULL,"Seminario. Enciclopedia imaginaria: cuentos de Borges","SEMINARIOBORGES","Seminario","Agosto 2019","2019","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Enciclopedia imaginaria: cuentos de Borges","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","0","0"
NULL,"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","URQUIZA","Escuela Normal Superior Justo José de Urquiza","2","0","0","0"
NULL,"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","IESSB","Instituto de Enseñanza Superior Simón Bolívar","17","0","0","0"
NULL,"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Abril 2018","2018","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","INESCER","Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""","2","0","0","0"
NULL,"Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","SEMINARIORANCIERE","Seminario","Agosto 2020","2020","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario. Jacques Rancière: del maestro ignorante al espectador emancipado","IESSB","Instituto de Enseñanza Superior Simón Bolívar","1","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Abril 2019","2019","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","URQUIZA","Escuela Normal Superior Justo José de Urquiza","13","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Abril 2019","2019","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","14","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2020","2020","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","LEFEBVRE","Instituto de Enseñanza Superior Eduardo Lefebvre de Laboulaye","4","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","URQUIZA","Escuela Normal Superior Justo José de Urquiza","2","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","CARENA","Instituto Superior Dr. Carlos María Carena","3","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","IESSB","Instituto de Enseñanza Superior Simón Bolívar","8","0","0","0"
NULL,"Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SEMINARIOMUSICAS","Seminario","Agosto 2021","2021","Formación de estudiantes de institutos de formación docente y docentes noveles","Seminario ""Vidas con banda sonora. Músicas e identidades en la Argentina""","SANMARTIN","Colegio Superior San Martín","4","0","0","0"
