idcarrera,idcohorte,linea_formativa,propuesta,carrera,carrera_siglas,tipo,cohorte_anio,anio,idsede,ifda,ifda_siglas,departamento,iddepartamento,inscriptos,aceptados,aprobados_mi,inician_cursada_seminario,cursantes_t3,cursando_hoy,egresados_intermedio,egresados,aprobados_mi2,tiene_egresados,tiene_egresados_inter,ingresantes
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2017,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,,,,0,22,0,0,14,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2018,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,,,,0,3,0,0,0,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2016,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,26,17,15,0,15,0,0,0,0,1,0,15
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2017,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,13,0,0,8,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2016,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,24,12,10,0,10,0,0,0,0,1,0,10
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2017,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,93,0,0,53,0,1,0,0
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,2016,2016,2,Instituto Superior Dr. Carlos María Carena,CARENA,San Alberto,17,25,25,7,0,7,0,0,2,0,1,0,7
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2016,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,89,46,42,0,42,0,0,0,0,1,0,42
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2017,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,,,,0,39,0,0,25,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2018,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,,,,0,7,0,0,2,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2017,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,136,0,0,64,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2019,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,1,0,0,1,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2018,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,22,0,0,9,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2016,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,195,116,93,0,93,0,0,0,0,1,0,93
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2017,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,83,0,0,28,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2019,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,4,0,0,3,0,1,0,0
1,1,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial,GESTIONINI,Trayecto,2016,2020,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,5,0,0,4,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2020,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,12,0,0,7,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2021,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,6,0,0,3,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2016,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,50,21,19,0,19,0,0,0,0,1,0,19
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2017,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,,,,0,18,0,0,11,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2019,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,4,0,0,3,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2020,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,2,0,0,2,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2021,1,Escuela Normal Superior Justo José de Urquiza,URQUIZA,Río Cuarto,13,,,,0,1,0,0,1,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2018,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,2,0,0,1,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2019,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,1,0,0,0,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2020,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,0,0,0,0,0,1,0,0
5,5,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Secundaria,GESTIONSEC,Trayecto,2016,2021,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,,,,0,1,0,0,1,0,1,0,0
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,2016,2016,4,Colegio Superior San Martín,SANMARTIN,San Justo,19,22,22,9,0,9,0,0,5,0,1,0,9
3,3,Formación de directores y supervisores,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,Trayecto de formación para docentes de ramos especiales para el acceso a concursos de cargos directivos en el nivel de Educación Primaria,DIRESPECIALES,Trayecto,2016,2016,6,Instituto Superior Dr. Bernardo Houssay,HOUSSAY,Punilla,12,22,22,7,0,7,0,0,4,0,1,0,7
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2022,3,Instituto de Enseñanza Superior Simón Bolívar,IESSB,Capital,26,,,,0,0,0,0,0,0,1,0,0
4,4,Formación de directores y supervisores,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ,Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Primaria,GESTIONPRI,Trayecto,2016,2020,5,"Instituto de Educación Superior del Centro de La República ""Dr. Angel Diego Márquez""",INESCER,General San Martín,5,,,,0,3,0,0,2,0,1,0,0
