"linea_formativa","propuesta","carrera_siglas","tipo","egresados","anio"
"Formación de directores y supervisores",NULL,"TRABAJOSUPERVISOR","Seminario","75","2019"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"PYC_ACT","Trayecto","11","2019"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"SEMINARIODEFENSA","Seminario","17","2019"
"Formación docente complementaria",NULL,"FORM_SUPFD_SEC","Formación pedagógica (profesorado)","29","2019"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI","Trayecto","5","2020"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI","Trayecto","16","2020"
"Formación de directores y supervisores","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC","Trayecto","6","2020"
"Formación de profesores virtuales para propuestas del ISEP",NULL,"TUTORES","Seminario","170","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONINI_ESP","Trayecto","127","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONPRI_ESP","Trayecto","333","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSEC_ESP","Trayecto","139","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","SOCIALES_ESP","Trayecto","26","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","NATURALES_ESP","Trayecto","19","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","MATEMATICA_ESP","Trayecto","38","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","LENGUA_ESP","Trayecto","73","2020"
"Formación de docentes del nivel de educación inicial y primario","Especialización Docente de Nivel Superior en la Enseñanza en la Educación Primaria","INGLES_TESP","Trayecto","4","2020"
"Formación de docentes de las modalidades del sistema educativo","Educación de Jóvenes y Adultos","ADULTOS_ACT","Trayecto","67","2020"
"Formación de directores y supervisores","Especialización Docente de Nivel Superior en Conducción y Gestión Educativa ","GESTIONSUP_ESP","Trayecto","26","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOSARMIENTO","Seminario","91","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOESPACIO","Seminario","79","2020"
"Formación de docentes en el área de medios y tecnologías","Educación y Medios Digitales","EDUYMEDIOS","Trayecto","34","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOBORGES","Seminario","93","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIORANCIERE","Seminario","64","2020"
"Formación de estudiantes de institutos de formación docente y docentes noveles",NULL,"SEMINARIOMUSICAS","Seminario","112","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_MAT","Profesorado","31","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_BIOL","Profesorado","69","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_FIS","Profesorado","39","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_GEOG","Profesorado","3","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_HIS","Profesorado","7","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_LENGYLIT","Profesorado","10","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_QUIM","Profesorado","91","2020"
"Formación docente complementaria","Profesorado de Educación Secundaria","PROFSEC_INF","Profesorado","35","2020"
"Formación docente complementaria",NULL,"PROF_INGLES","Profesorado","8","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_BIOL","Profesorado","10","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_FIS","Profesorado","1","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_GEOG","Profesorado","6","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_HIS","Profesorado","9","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_LENGYLIT","Profesorado","7","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_MAT","Profesorado","14","2020"
"Formación docente complementaria","Profesorado de Educación Superior","PROFSUP_QUIM","Profesorado","3","2020"
"Formación docente complementaria",NULL,"FORM_SEC","Formación pedagógica (profesorado)","156","2020"
